Timestamp,DateTime,TEC1_Optimal(V),TEC2_Optimal(V),TEC3_Optimal(V),TEC4_Optimal(V),TEC5_Optimal(V),TEC6_Optimal(V),TEC7_Optimal(V),TEC8_Optimal(V)
1763690149,12:30:00,0.00396943,0.00738630,0.00750201,0.00354066,0.00347126,0.00435479,0.00780968,0.00447147
1763690159,12:30:10,0.00318124,0.00655712,0.00580663,0.00312785,0.00273822,0.00342699,0.00717626,0.00395362
1763690169,12:30:20,0.00330673,0.00514465,0.00649774,0.00297643,0.00283558,0.00297831,0.00649362,0.00383092
1763690179,12:30:30,0.00267445,0.00547646,0.00584514,0.00291805,0.00242421,0.00287695,0.00667011,0.00332047
1763690189,12:30:40,0.00287630,0.00555986,0.00530253,0.00284051,0.00205045,0.00276535,0.00583036,0.00330781
1763690199,12:30:50,0.00251509,0.00547881,0.00501405,0.00241421,0.00219862,0.00269378,0.00639022,0.00322523
1763690209,12:31:00,0.00250614,0.00564463,0.00467203,0.00223764,0.00225219,0.00286728,0.00525372,0.00291459
1763690219,12:31:10,0.00243172,0.00522933,0.00454779,0.00253643,0.00223282,0.00259517,0.00502128,0.00301925
1763690229,12:31:20,0.00249120,0.00503901,0.00529085,0.00243161,0.00208761,0.00257614,0.00530220,0.00289308
1763690239,12:31:30,0.00244422,0.00540775,0.00450920,0.00300354,0.00200173,0.00232237,0.00509077,0.00281829
1763690249,12:31:40,0.00250026,0.00469577,0.00447229,0.00266329,0.00191437,0.00242666,0.00509804,0.00254583
1763690259,12:31:50,0.00232854,0.00443362,0.00415261,0.00233671,0.00204474,0.00246694,0.00479822,0.00282947
1763690269,12:32:00,0.00232498,0.00405814,0.00447874,0.00267818,0.00198005,0.00245398,0.00484392,0.00264867
1763690279,12:32:10,0.00224640,0.00483383,0.00441239,0.00236604,0.00181883,0.00218764,0.00533252,0.00279122
1763690289,12:32:20,0.00216210,0.00482667,0.00425602,0.00208023,0.00194999,0.00210059,0.00478345,0.00253997
1763690299,12:32:30,0.00227509,0.00432483,0.00401399,0.00237943,0.00173429,0.00219641,0.00491044,0.00255199
1763690309,12:32:40,0.00221479,0.00481297,0.00400054,0.00231345,0.00165522,0.00226238,0.00488576,0.00258978
1763690319,12:32:50,0.00203756,0.00437648,0.00392645,0.00247094,0.00158779,0.00211031,0.00516285,0.00235748
1763690329,12:33:00,0.00205865,0.00457045,0.00394456,0.00228772,0.00172516,0.00199875,0.00438727,0.00251132
1763690339,12:33:10,0.00187159,0.00410713,0.00394673,0.00256960,0.00147949,0.00205773,0.00487274,0.00239212
1763690349,12:33:20,0.00203768,0.00381172,0.00353201,0.00231590,0.00163261,0.00211765,0.00468672,0.00253907
1763690359,12:33:30,0.00220519,0.00449149,0.00389542,0.00235705,0.00170954,0.00209762,0.00462843,0.00231870
1763690369,12:33:40,0.00199991,0.00399678,0.00335047,0.00207991,0.00156241,0.00209677,0.00427484,0.00243001
1763690379,12:33:50,0.00205805,0.00414487,0.00369404,0.00217365,0.00174083,0.00207956,0.00467534,0.00241698
1763690389,12:34:00,0.00217933,0.00442635,0.00354923,0.00194794,0.00175462,0.00197873,0.00433510,0.00240373
1763690399,12:34:10,0.00209821,0.00431614,0.00377906,0.00222899,0.00173225,0.00202247,0.00443302,0.00241836
1763690409,12:34:20,0.00207556,0.00411469,0.00320418,0.00216149,0.00155795,0.00199947,0.00460184,0.00234760
1763690419,12:34:30,0.00201250,0.00381844,0.00339168,0.00244063,0.00172962,0.00193162,0.00432435,0.00231668
1763690429,12:34:40,0.00201702,0.00409541,0.00311656,0.00213396,0.00152974,0.00201508,0.00451203,0.00214386
1763690439,12:34:50,0.00194537,0.00391985,0.00364470,0.00220773,0.00144758,0.00185647,0.00465310,0.00232351
1763690449,12:35:00,0.00195077,0.00404473,0.00366073,0.00201619,0.00150573,0.00186879,0.00438534,0.00231039
1763690459,12:35:10,0.00195981,0.00392374,0.00370352,0.00178448,0.00137615,0.00186618,0.00430304,0.00228170
1763690469,12:35:20,0.00189969,0.00405837,0.00365724,0.00180549,0.00147026,0.00192919,0.00411716,0.00218261
1763690479,12:35:30,0.00186783,0.00362220,0.00402665,0.00204359,0.00153637,0.00183137,0.00450939,0.00225920
1763690489,12:35:40,0.00192473,0.00388507,0.00364055,0.00199897,0.00152111,0.00187158,0.00440875,0.00223976
1763690499,12:35:50,0.00199037,0.00405567,0.00337766,0.00200206,0.00140424,0.00182211,0.00417808,0.00215124
1763690509,12:36:00,0.00197910,0.00371544,0.00358096,0.00197935,0.00135794,0.00171137,0.00398488,0.00227392
1763690519,12:36:10,0.00173523,0.00400920,0.00332221,0.00226667,0.00142552,0.00196778,0.00480753,0.00208978
1763690529,12:36:20,0.00177582,0.00394826,0.00357360,0.00190021,0.00135913,0.00173812,0.00427618,0.00211317
1763690539,12:36:30,0.00186722,0.00375227,0.00357185,0.00180407,0.00137976,0.00180168,0.00455634,0.00213640
1763690549,12:36:40,0.00191685,0.00373717,0.00316483,0.00205112,0.00127288,0.00189533,0.00428971,0.00192534
1763690559,12:36:50,0.00181686,0.00370904,0.00353113,0.00194532,0.00136328,0.00172290,0.00418180,0.00219977
1763690569,12:37:00,0.00187544,0.00380687,0.00340193,0.00204892,0.00142952,0.00171055,0.00421639,0.00213793
1763690579,12:37:10,0.00180810,0.00370356,0.00327901,0.00201384,0.00131048,0.00173168,0.00394158,0.00216686
1763690589,12:37:20,0.00163413,0.00362716,0.00328399,0.00192064,0.00122039,0.00164110,0.00447545,0.00214926
1763690599,12:37:30,0.00191777,0.00362783,0.00318550,0.00187816,0.00157772,0.00174359,0.00433058,0.00203897
1763690609,12:37:40,0.00165907,0.00390105,0.00284521,0.00192693,0.00141613,0.00169773,0.00402904,0.00211695
1763690619,12:37:50,0.00181943,0.00362482,0.00330705,0.00185960,0.00157211,0.00174089,0.00454188,0.00213889
1763690629,12:38:00,0.00164671,0.00352871,0.00316996,0.00194982,0.00129275,0.00171123,0.00427271,0.00213511
1763690639,12:38:10,0.00174456,0.00340673,0.00344509,0.00194169,0.00137212,0.00174074,0.00393793,0.00201524
1763690649,12:38:20,0.00170904,0.00337376,0.00321537,0.00203558,0.00131617,0.00173415,0.00403283,0.00211414
1763690659,12:38:30,0.00178380,0.00355243,0.00303994,0.00193970,0.00130563,0.00163232,0.00482973,0.00202862
1763690669,12:38:40,0.00168154,0.00377644,0.00306852,0.00183876,0.00121951,0.00165892,0.00373662,0.00206592
1763690679,12:38:50,0.00170500,0.00360465,0.00296320,0.00188151,0.00127493,0.00160845,0.00414039,0.00203940
1763690689,12:39:00,0.00181902,0.00388186,0.00308726,0.00203466,0.00136736,0.00171531,0.00388602,0.00207482
1763690699,12:39:10,0.00158155,0.00390334,0.00329532,0.00190067,0.00131391,0.00172489,0.00413145,0.00219843
1763690709,12:39:20,0.00172885,0.00334643,0.00312597,0.00189644,0.00140395,0.00164852,0.00409052,0.00196178
1763690719,12:39:30,0.00162956,0.00355632,0.00274563,0.00194919,0.00138705,0.00163662,0.00383394,0.00196639
1763690729,12:39:40,0.00189544,0.00332114,0.00339157,0.00189359,0.00108663,0.00163254,0.00424738,0.00201885
1763690739,12:39:50,0.00154886,0.00338272,0.00339570,0.00196897,0.00116968,0.00167145,0.00397105,0.00192275
1763690749,12:40:00,0.00178400,0.00357696,0.00306464,0.00195592,0.00127885,0.00159769,0.00406841,0.00200136
1763690759,12:40:10,0.00178246,0.00343741,0.00340481,0.00174377,0.00130916,0.00163053,0.00375946,0.00192521
1763690769,12:40:20,0.00173999,0.00340922,0.00278313,0.00196954,0.00115271,0.00166465,0.00363526,0.00192008
1763690779,12:40:30,0.00156788,0.00352166,0.00324036,0.00202418,0.00122354,0.00154841,0.00377248,0.00199978
1763690789,12:40:40,0.00165142,0.00379002,0.00284342,0.00180970,0.00135636,0.00154904,0.00390058,0.00190744
1763690799,12:40:50,0.00170952,0.00310486,0.00293035,0.00207243,0.00132405,0.00157047,0.00382091,0.00181065
1763690809,12:41:00,0.00147590,0.00352095,0.00337616,0.00198338,0.00119512,0.00163510,0.00421656,0.00198660
1763690819,12:41:10,0.00164840,0.00373982,0.00304894,0.00187928,0.00130715,0.00155897,0.00424796,0.00195144
1763690829,12:41:20,0.00162266,0.00354493,0.00299474,0.00173518,0.00122241,0.00156137,0.00372632,0.00188428
1763690839,12:41:30,0.00171129,0.00359091,0.00313257,0.00170722,0.00123041,0.00152228,0.00390010,0.00188504
1763690849,12:41:40,0.00156174,0.00334759,0.00259725,0.00193175,0.00126794,0.00160439,0.00435791,0.00189538
1763690859,12:41:50,0.00166160,0.00322468,0.00302594,0.00180147,0.00134311,0.00163574,0.00420813,0.00185541
1763690869,12:42:00,0.00166361,0.00371822,0.00265807,0.00171943,0.00119989,0.00149151,0.00385684,0.00189670
1763690879,12:42:10,0.00148399,0.00324590,0.00310359,0.00187097,0.00111640,0.00151210,0.00333262,0.00186378
1763690889,12:42:20,0.00161903,0.00343112,0.00324704,0.00159842,0.00107530,0.00156549,0.00372210,0.00178842
1763690899,12:42:30,0.00152943,0.00323722,0.00265644,0.00159971,0.00119914,0.00148468,0.00414487,0.00174347
1763690909,12:42:40,0.00162909,0.00341326,0.00304602,0.00211809,0.00110850,0.00149182,0.00378791,0.00183070
1763690919,12:42:50,0.00168471,0.00337303,0.00240894,0.00162537,0.00122973,0.00150150,0.00373743,0.00190537
1763690929,12:43:00,0.00167855,0.00315752,0.00294048,0.00167894,0.00125460,0.00154068,0.00393662,0.00187476
1763690939,12:43:10,0.00156723,0.00347329,0.00272261,0.00161778,0.00122998,0.00152146,0.00370364,0.00182799
1763690949,12:43:20,0.00164729,0.00348950,0.00291826,0.00172350,0.00115853,0.00154610,0.00350004,0.00182315
1763690959,12:43:30,0.00165305,0.00331042,0.00294149,0.00172215,0.00115436,0.00142961,0.00359619,0.00183958
1763690969,12:43:40,0.00154668,0.00326957,0.00273049,0.00172438,0.00123939,0.00144760,0.00388754,0.00183229
1763690979,12:43:50,0.00155369,0.00345016,0.00270825,0.00150080,0.00115604,0.00145976,0.00404305,0.00180660
1763690989,12:44:00,0.00151848,0.00344812,0.00282483,0.00166880,0.00106000,0.00149536,0.00355535,0.00188728
1763690999,12:44:10,0.00166689,0.00317002,0.00266361,0.00172914,0.00115351,0.00146051,0.00366221,0.00191851
1763691009,12:44:20,0.00157345,0.00347826,0.00285281,0.00149152,0.00114354,0.00146753,0.00411048,0.00185837
1763691019,12:44:30,0.00160507,0.00351368,0.00280475,0.00184891,0.00116425,0.00151825,0.00374977,0.00178695
1763691029,12:44:40,0.00152657,0.00336581,0.00301275,0.00173654,0.00110263,0.00148838,0.00380849,0.00178987
1763691039,12:44:50,0.00165354,0.00329525,0.00274991,0.00182156,0.00109431,0.00150680,0.00366285,0.00172901
1763691049,12:45:00,0.00156458,0.00319558,0.00292387,0.00174698,0.00104477,0.00146564,0.00391068,0.00177914
1763691059,12:45:10,0.00153183,0.00320513,0.00298112,0.00175912,0.00113215,0.00150352,0.00359863,0.00174594
1763691069,12:45:20,0.00161070,0.00322647,0.00274793,0.00176180,0.00123241,0.00152429,0.00391683,0.00182838
1763691079,12:45:30,0.00152672,0.00327999,0.00243873,0.00154539,0.00113220,0.00143956,0.00387611,0.00180208
1763691089,12:45:40,0.00145580,0.00329271,0.00312857,0.00161064,0.00114438,0.00152827,0.00350431,0.00185084
1763691099,12:45:50,0.00156161,0.00277750,0.00272030,0.00185565,0.00110597,0.00151877,0.00358077,0.00172615
1763691109,12:46:00,0.00161913,0.00337009,0.00276881,0.00156965,0.00116698,0.00144215,0.00375009,0.00174440
1763691119,12:46:10,0.00167593,0.00329329,0.00269683,0.00170796,0.00115774,0.00143135,0.00344660,0.00182913
1763691129,12:46:20,0.00158493,0.00342763,0.00299402,0.00172916,0.00113934,0.00146797,0.00369265,0.00181038
1763691139,12:46:30,0.00149571,0.00306946,0.00288077,0.00167427,0.00113873,0.00143779,0.00361798,0.00170441
1763691149,12:46:40,0.00142194,0.00333320,0.00272852,0.00169695,0.00108660,0.00141027,0.00371206,0.00174816
1763691159,12:46:50,0.00159619,0.00322104,0.00280764,0.00183646,0.00116749,0.00148048,0.00348822,0.00167426
1763691169,12:47:00,0.00153897,0.00315197,0.00292401,0.00178494,0.00122484,0.00147339,0.00366446,0.00178912
1763691179,12:47:10,0.00150172,0.00308668,0.00306807,0.00184714,0.00108207,0.00138808,0.00331086,0.00178479
1763691189,12:47:20,0.00150296,0.00319601,0.00300531,0.00172143,0.00101563,0.00136458,0.00374642,0.00183798
1763691199,12:47:30,0.00150969,0.00290015,0.00233781,0.00176252,0.00118838,0.00146345,0.00389208,0.00174504
1763691209,12:47:40,0.00151719,0.00341704,0.00264751,0.00175684,0.00112350,0.00153227,0.00388611,0.00171569
1763691219,12:47:50,0.00157017,0.00350845,0.00289122,0.00178107,0.00116131,0.00134936,0.00338293,0.00180663
1763691229,12:48:00,0.00141672,0.00331609,0.00269196,0.00177105,0.00111678,0.00133720,0.00368629,0.00178418
1763691239,12:48:10,0.00149565,0.00324370,0.00251292,0.00196770,0.00104941,0.00150987,0.00390147,0.00184766
1763691249,12:48:20,0.00153574,0.00299318,0.00282983,0.00122597,0.00103033,0.00148416,0.00333560,0.00173562
1763691259,12:48:30,0.00147632,0.00328973,0.00244877,0.00177375,0.00106632,0.00145394,0.00367545,0.00175780
