Timestamp,Yellow,Ultraviolet,Infrared,Red,Green,Blue,Transparent,Violet
2025-12-27 10:35:25,0.0061875,0.009101563,0.007632812,0.009609375,-0.000625,-0.000625,0.002820312,0.004296875
2025-12-27 10:35:36,0.006226563,0.008867188,0.00746875,0.009679688,-0.000625,-0.00075,0.00265625,0.004273438
2025-12-27 10:35:42,0.006054688,0.00871875,0.0069375,0.009148438,-0.00075,-0.000875,0.002578125,0.004375
2025-12-27 10:35:54,0.005890625,0.008351562,0.007007813,0.01,-0.00075,-0.001125,0.00215625,0.004257813
2025-12-27 10:36:23,0.005679687,0.008234375,0.00646875,0.0100625,-0.000875,-0.00125,0.002265625,0.004328125
2025-12-27 10:36:35,0.005679687,0.008070312,0.006039063,0.009820313,-0.000875,-0.0015,0.00221875,0.003953125
2025-12-27 10:36:40,0.006117188,0.008007812,0.006132813,0.010148437,-0.00075,-0.0015,0.00228125,0.004164063
2025-12-27 10:36:52,0.006140625,0.007992188,0.005835937,0.01053125,-0.000875,-0.0015,0.002148438,0.003984375
2025-12-27 10:37:04,0.00578125,0.0078125,0.00515625,0.009742188,-0.000875,-0.001625,0.002039063,0.003179688
2025-12-27 10:37:16,0.00625,0.007984375,0.005398438,0.010585937,-0.00075,-0.0015,0.002203125,0.003828125
2025-12-27 10:37:21,0.005492188,0.007929688,0.00521875,0.010265625,-0.00075,-0.001625,0.002226563,0.003484375
2025-12-27 10:37:33,0.005898438,0.008132812,0.005164063,0.010695312,-0.000875,-0.001375,0.00215625,0.003867187
2025-12-27 10:37:45,0.0055625,0.0081875,0.004617187,0.010539062,-0.000875,-0.001375,0.001898437,0.003632813
2025-12-27 10:37:56,0.00525,0.007585937,0.003953125,0.010335937,-0.00125,-0.0015,0.00153125,0.003398437
2025-12-27 10:38:02,0.005304688,0.007921875,0.00428125,0.010359375,-0.001,-0.001375,0.00175,0.003382812
2025-12-27 10:38:14,0.004921875,0.007351563,0.00353125,0.010140625,-0.001125,-0.001375,0.001023438,0.0030625
2025-12-27 10:38:26,0.004617187,0.007851563,0.0036875,0.010148437,-0.001125,-0.001375,0.001476563,0.002671875
