Timestamp,DateTime,TEC1_Gain16(V),TEC1_Gain8(V),TEC1_Gain4(V),TEC1_Gain2(V),TEC1_Gain1(V),TEC1_Optimal(V),TEC1_OptimalGain,TEC2_Gain16(V),TEC2_Gain8(V),TEC2_Gain4(V),TEC2_Gain2(V),TEC2_Gain1(V),TEC2_Optimal(V),TEC2_OptimalGain,TEC3_Gain16(V),TEC3_Gain8(V),TEC3_Gain4(V),TEC3_Gain2(V),TEC3_Gain1(V),TEC3_Optimal(V),TEC3_OptimalGain,TEC4_Gain16(V),TEC4_Gain8(V),TEC4_Gain4(V),TEC4_Gain2(V),TEC4_Gain1(V),TEC4_Optimal(V),TEC4_OptimalGain,TEC5_Gain16(V),TEC5_Gain8(V),TEC5_Gain4(V),TEC5_Gain2(V),TEC5_Gain1(V),TEC5_Optimal(V),TEC5_OptimalGain,TEC6_Gain16(V),TEC6_Gain8(V),TEC6_Gain4(V),TEC6_Gain2(V),TEC6_Gain1(V),TEC6_Optimal(V),TEC6_OptimalGain,TEC7_Gain16(V),TEC7_Gain8(V),TEC7_Gain4(V),TEC7_Gain2(V),TEC7_Gain1(V),TEC7_Optimal(V),TEC7_OptimalGain,TEC8_Gain16(V),TEC8_Gain8(V),TEC8_Gain4(V),TEC8_Gain2(V),TEC8_Gain1(V),TEC8_Optimal(V),TEC8_OptimalGain
1763725140.6638727,2025-11-21 19:39:00,0.000625000,-0.004500000,-0.000500000,-0.003000000,-0.014000000,0.000625000,16,0.000000000,0.000000000,0.000000000,0.001000000,-0.002000000,0.000000000,16,0.001031250,0.001031250,0.001031250,0.001000000,0.001000000,0.001031250,16,0.000257813,0.000250000,0.000281250,0.000250000,0.000250000,0.000257813,16,-0.000031250,-0.000031250,-0.000031250,0.000000000,0.000000000,-0.000031250,16,0.000375000,0.000375000,0.000375000,0.000375000,0.000375000,0.000375000,16,-0.002625000,-0.004109375,0.000125000,0.000312500,-0.001125000,-0.002625000,16,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,16
1763725151.613981,2025-11-21 19:39:11,0.000125000,0.004750000,0.010500000,0.025000000,0.004000000,0.000125000,16,0.000125000,0.000000000,0.000000000,0.000000000,0.000000000,0.000125000,16,0.000976562,0.000984375,0.000968750,0.001000000,0.001000000,0.000976562,16,0.000117187,0.000109375,0.000125000,0.000125000,0.000125000,0.000117187,16,-0.000109375,-0.000109375,-0.000093750,-0.000125000,-0.000125000,-0.000109375,16,0.000320313,0.000328125,0.000312500,0.000312500,0.000375000,0.000320313,16,0.000367188,-0.003500000,-0.000062500,0.000000000,-0.000375000,0.000367188,16,0.000007813,0.000015625,0.000031250,0.000062500,0.000000000,0.000007813,16
1763725162.4883301,2025-11-21 19:39:22,0.005000000,0.010750000,0.010500000,0.005000000,-0.006000000,0.005000000,16,0.000125000,0.000000000,0.000000000,0.001000000,-0.002000000,0.000125000,16,0.000984375,0.000984375,0.001000000,0.001000000,0.001000000,0.000984375,16,0.000203125,0.000203125,0.000218750,0.000187500,0.000250000,0.000203125,16,-0.000117187,-0.000125000,-0.000125000,-0.000125000,-0.000125000,-0.000117187,16,0.000304687,0.000296875,0.000312500,0.000312500,0.000250000,0.000304687,16,-0.004234375,-0.005312500,-0.000031250,0.000062500,-0.002250000,-0.004234375,16,0.000007813,0.000000000,0.000000000,0.000000000,0.000000000,0.000007813,16
1763725173.4207182,2025-11-21 19:39:33,0.000375000,0.004750000,0.022000000,0.005000000,0.010000000,0.000375000,16,0.000125000,0.000000000,0.000000000,0.000000000,-0.004000000,0.000125000,16,0.000992188,0.000984375,0.001000000,0.001000000,0.001000000,0.000992188,16,0.000218750,0.000218750,0.000218750,0.000187500,0.000250000,0.000218750,16,-0.000132813,-0.000125000,-0.000125000,-0.000125000,-0.000125000,-0.000132813,16,0.000257813,0.000250000,0.000250000,0.000250000,0.000250000,0.000257813,16,-0.005062500,-0.003375000,-0.000093750,-0.001062500,-0.000750000,-0.005062500,16,0.000000000,0.000000000,0.000000000,0.000125000,0.000000000,0.000000000,16
1763725200.5610158,2025-11-21 19:40:00,0.010750000,0.000500000,0.000000000,0.002000000,0.144000000,0.010750000,16,0.000000000,0.000000000,0.000000000,0.000000000,0.002000000,0.000000000,16,0.001000000,0.001000000,0.001000000,0.001000000,0.001000000,0.001000000,16,0.000179687,0.000187500,0.000187500,0.000187500,0.000125000,0.000179687,16,-0.000070313,-0.000062500,-0.000062500,-0.000062500,-0.000125000,-0.000070313,16,0.000257813,0.000265625,0.000250000,0.000250000,0.000250000,0.000257813,16,-0.000945312,0.000296875,-0.000562500,0.000125000,0.000000000,-0.000945312,16,0.000000000,0.000000000,0.000000000,0.000062500,0.000125000,0.000000000,16
1763725211.4591253,2025-11-21 19:40:11,-0.000250000,0.005250000,0.011000000,0.005000000,0.000000000,-0.000250000,16,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,16,0.000468750,0.000468750,0.000468750,0.000437500,0.000500000,0.000468750,16,0.000195313,0.000187500,0.000187500,0.000187500,0.000125000,0.000195313,16,-0.000007813,-0.000015625,0.000000000,0.000000000,0.000000000,-0.000007813,16,0.000273438,0.000265625,0.000281250,0.000312500,0.000250000,0.000273438,16,-0.003664063,-0.006031250,-0.000062500,-0.000312500,-0.000375000,-0.003664063,16,0.000007813,0.000000000,0.000000000,0.000000000,0.000000000,0.000007813,16
1763725222.3162992,2025-11-21 19:40:22,0.015875000,0.000250000,0.000500000,0.001000000,-0.010000000,0.015875000,16,0.000000000,0.000000000,0.000000000,0.002000000,0.004000000,0.000000000,16,0.001554688,0.001562500,0.001562500,0.001562500,0.001625000,0.001554688,16,0.000148437,0.000140625,0.000156250,0.000125000,0.000125000,0.000148437,16,-0.000070313,-0.000078125,-0.000062500,-0.000062500,-0.000125000,-0.000070313,16,0.000312500,0.000312500,0.000312500,0.000312500,0.000250000,0.000312500,16,-0.000257813,0.000015625,-0.000781250,-0.000250000,0.001125000,-0.000257813,16,0.000007813,0.000000000,0.000031250,0.000062500,0.000000000,0.000007813,16
1763725233.242882,2025-11-21 19:40:33,0.015875000,0.000250000,0.000000000,-0.002000000,0.090000000,0.015875000,16,0.000125000,0.000000000,0.000000000,0.002000000,0.012000000,0.000125000,16,0.001765625,0.001765625,0.001750000,0.001750000,0.001750000,0.001765625,16,0.000242187,0.000250000,0.000250000,0.000250000,0.000250000,0.000242187,16,-0.000039063,-0.000046875,-0.000031250,-0.000062500,0.000000000,-0.000039063,16,0.000414062,0.000406250,0.000406250,0.000375000,0.000375000,0.000414062,16,0.000679688,-0.002578125,0.000000000,0.000000000,-0.000250000,0.000679688,16,0.000007813,0.000000000,0.000000000,0.000125000,0.000125000,0.000007813,16
1763725244.1034775,2025-11-21 19:40:44,0.015250000,0.000250000,0.000500000,0.000000000,0.010000000,0.015250000,16,0.005125000,0.000000000,0.000000000,0.001000000,0.014000000,0.005125000,16,0.001867188,0.001859375,0.001875000,0.001875000,0.001875000,0.001867188,16,0.000250000,0.000250000,0.000250000,0.000250000,0.000250000,0.000250000,16,-0.000015625,-0.000015625,0.000000000,0.000000000,0.000000000,-0.000015625,16,0.000460938,0.000453125,0.000468750,0.000500000,0.000500000,0.000460938,16,-0.000046875,0.000031250,-0.000093750,0.000062500,-0.000250000,-0.000046875,16,0.000007813,0.000000000,0.000000000,0.000000000,0.000250000,0.000007813,16
1763725254.980164,2025-11-21 19:40:54,0.015875000,0.005750000,0.000000000,0.000000000,0.048000000,0.015875000,16,0.005125000,0.000000000,0.000000000,0.001000000,0.012000000,0.005125000,16,0.001734375,0.001734375,0.001750000,0.001750000,0.001750000,0.001734375,16,0.000335938,0.000343750,0.000343750,0.000312500,0.000375000,0.000335938,16,0.000031250,0.000031250,0.000031250,0.000000000,0.000000000,0.000031250,16,0.000398438,0.000406250,0.000406250,0.000375000,0.000375000,0.000398438,16,-0.001257813,-0.002875000,-0.000031250,-0.000375000,-0.002375000,-0.001257813,16,0.000007813,0.000000000,0.000000000,0.000000000,0.000000000,0.000007813,16
